family,ip,role,provenance,relationship_type,confidence,source_url_or_raw_ref,notes,author_attribution
Settra,193.5.65.114,meshagent,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.huntress.com/blog/new-settra-ransomware-variant,"Huntress Sept 2026 MeshAgent C2 (SET-IND-0002). Chronology (SET-CLAIM-0017 / SET-PO-0003): urlscan MeshCentral Login tlsIssuer MeshCentralRoot-eca57f by 2025-09-11; id-manulife.com same-IP MeshCentral titles 2025-07-30 and certstream 2025-05-05 — earlier than Huntress ~2025-11 window. RDAP (SET-CLAIM-0018 / SET-PO-0002): RIPE NL-RAPIDSEEDBOX-20250306 (Rapid Seedbox) — hosting allocation only; author_attribution=NOT_ESTABLISHED. Label INFRASTRUCTURE_OVERLAP / UNKNOWN — not Settra-exclusive. Not proof Settra existed in 2024.",NOT_ESTABLISHED
SynkLoader,149.248.76.220,c2,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,High,evidence/passive-observations/dns/synkloader/dns_resolve_neversoftmain.net_2026-09-19T190009Z.json,A for neversoftmain.net (Expel PRIMARY C2 domain). Corroborates prior urlscan. RDAP netname BNL-77. Domain provenance PRIMARY; IP is OBSERVED_PASSIVE mapping.,NOT_ESTABLISHED
SynkLoader,162.33.177.8,c2,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,High,evidence/passive-observations/dns/synkloader/dns_resolve_rootfarmapp.net_2026-09-19T190009Z.json,A for rootfarmapp.net (Expel PRIMARY C2 domain). RDAP BLNETWORKS-01.,NOT_ESTABLISHED
SynkLoader,216.245.184.14,c2,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,High,evidence/passive-observations/dns/synkloader/dns_resolve_tripinupdate.net_2026-09-19T190009Z.json,A for tripinupdate.net (Expel PRIMARY C2 domain). RDAP BNL-77.,NOT_ESTABLISHED
SynkLoader,64.94.85.67,c2,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,High,evidence/passive-observations/dns/synkloader/dns_resolve_aroclenetapp.net_2026-09-19T190009Z.json,A for aroclenetapp.net (Expel PRIMARY domain in IOC table). RDAP BNL-77.,NOT_ESTABLISHED
SynkLoader,57.150.140.65,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/urlscan/synkloader/urlscan_azure_filereserve_2026-09-19T185337Z.json,urlscan page IP for filereserve.blob.core.windows.net (Expel delivery MSI host). Azure edge — not actor-owned.,NOT_ESTABLISHED
Showboat,114.116.239.178,unknown,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,Black Lotus Labs Showboat_IOCs.txt: hosted malicious files (ukpkmkk.bin) 2024-11-01–2025-02-19; also listed with port 808. Role not further specified in IOC file.,NOT_ESTABLISHED
Showboat,103.10.145.129,unknown,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL Showboat IOC: hosted sample 2023-04-04; also listed :443 through 2023-07-17.,NOT_ESTABLISHED
Showboat,45.76.157.243,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL table: :443 first/last seen 2024-06-11–2024-10-18. Domain blank in IOC file.,NOT_ESTABLISHED
Showboat,139.84.135.190,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL table: :443 2024-06-08–2024-07-10.,NOT_ESTABLISHED
Showboat,139.180.223.193,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL table: :443 2024-09-05–2025-02-10.,NOT_ESTABLISHED
Showboat,152.32.159.11,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL table: :443 with domain singtelcom.site 2024-02-05–2025-03-05.,NOT_ESTABLISHED
Showboat,23.27.201.160,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL table: :443 2025-04-24–2025-04-27.,NOT_ESTABLISHED
Showboat,38.246.73.120,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt,BLL table: :443 2025-03-10–2025-05-28.,NOT_ESTABLISHED
Showboat,139.84.227.139,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Lumen PRIMARY: resolves from telecom.webredirect.org (SERVER_ADDRESS). SHO-IND-0002. Not ETW live contact.,NOT_ESTABLISHED
Showboat,194.135.25.132,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Lumen PRIMARY: second C2 via shared cert; Afghanistan ISP victim traffic Dec2025–Feb2026. SHO-IND-0003.,NOT_ESTABLISHED
Showboat,101.36.105.222,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Lumen PRIMARY: hosted kaztelecom.shop impersonation domain. SHO-IND-0007.,NOT_ESTABLISHED
Showboat,192.9.141.111,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Lumen PRIMARY: secondary cluster; possible US victims on port 9999. SHO-IND-0015.,NOT_ESTABLISHED
Showboat,64.176.43.209,c2,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Lumen PRIMARY: secondary cluster; Ukraine-region traffic noted by Lumen. SHO-IND-0016.,NOT_ESTABLISHED
Showboat,116.169.244.208,unknown,PRIMARY-SOURCE,ASSOCIATION_ONLY,Moderate,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Lumen PRIMARY: possible upstream/dev (China Unicom Chengdu). SHO-IND-0017 ASSOCIATION_ONLY — not confirmed actor-owned C2.,NOT_ESTABLISHED
RatHat,186.240.200.23,unknown,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/rathat/dns_resolve_admin.xiongmaocs.help_2026-09-19T190009Z.json,Passive A for community-list domain admin.xiongmaocs.help (not in Zimperium article). Do not treat as confirmed RatHat C2 without PRIMARY source. Zimperium primary has only 127.0.0.1:7910 (local).,NOT_ESTABLISHED
NodeRabbit,104.21.19.3,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/noderabbit/dns_resolve_visitfinancedentists.com_2026-09-19T190009Z.json,Representative Cloudflare edge for Kaspersky-published visitfinancedentists.com. Nearly all non-Azure NodeRabbit seeds resolve to CF 104.21/172.67 — demoted; prefer domains. Azurewebsites skipped for fan-out.,NOT_ESTABLISHED
NodeRabbit,172.67.184.91,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/noderabbit/dns_resolve_visitfinancedentists.com_2026-09-19T190009Z.json,Paired CF edge for visitfinancedentists.com. ASSOCIATION_ONLY.,NOT_ESTABLISHED
